title,url,favicon_url
Approved Software,https://gsa.servicenowservices.com/u_gsa_approved_software_list.do?sysparm_query=u_active%3Dtrue%5EnameLIKE{searchTerms}&sysparm_list_header_search=true,https://gsa.servicenowservices.com/images/mobile/apple_touch_snc.png
Assets,https://gsa.servicenowservices.com/alm_asset_list.do?sysparm_query=asset_tagLIKE{searchTerms},https://gsa.servicenowservices.com/favicon.ico?v=5
Calls,https://gsa.servicenowservices.com/new_call_list.do?sysparm_query=number%3D{searchTerms},https://gsa.servicenowservices.com/images/mobile/apple_touch_snc.png
Change requests,https://gsa.servicenowservices.com/change_request_list.do?sysparm_query=%5EGOTO123TEXTQUERY321%3D{searchTerms},https://gsa.servicenowservices.com/images/mobile/apple_touch_snc.png
Computers assigned to...,https://gsa.servicenowservices.com/cmdb_ci_computer_list.do?sysparm_query=assigned_to.nameLIKE{searchTerms},https://gsa.servicenowservices.com/images/mobile/apple_touch_snc.png
Department of profiles,https://gsa.servicenowservices.com/sys_user_list.do?sysparm_query=nameSTARTSWITHDepartment%5EnameLIKE{searchTerms}&sysparm_first_row=1&sysparm_view=itil,https://gsa.servicenowservices.com/images/mobile/apple_touch_snc.png
Global,https://gsa.servicenowservices.com/$sn_global_search_results.do?sysparm_search={searchTerms},https://gsa.servicenowservices.com/favicon.ico
Go to KB article,https://gsa.servicenowservices.com/kb_view.do?sysparm_article={searchTerms},https://gsa.servicenowservices.com/favicon.ico
Go to Task record,https://gsa.servicenowservices.com/nav_to.do?uri=task.do?sysparm_query=number={searchTerms},https://gsa.servicenowservices.com/favicon.ico
Groups,https://gsa.servicenowservices.com/sys_user_group_list.do?sysparm_query=123TEXTQUERY321%3D{searchTerms},https://gsa.servicenowservices.com/favicon.ico?v=5
Hostnames,https://gsa.servicenowservices.com/cmdb_ci_computer_list.do?sysparm_query=nameLIKE{searchTerms}%5EORasset_tagLIKE{searchTerms}%5EORserial_numberLIKE{searchTerms}%5EORfqdnLIKE{searchTerms}%5EORdns_domainLIKE{searchTerms},
IP Addresses,https://gsa.servicenowservices.com/cmdb_ci_ip_address_list.do?sysparm_query=ip_addressLIKE{searchTerms},https://gsa.servicenowservices.com/images/mobile/apple_touch_snc.png
Incident,https://gsa.servicenowservices.com/incident_list.do?sysparm_query=123TEXTQUERY321%3D%22{searchTerms}%22,https://gsa.servicenowservices.com/images/mobile/apple_touch_snc.png
KB,https://gsa.servicenowservices.com/$knowledge.do?sysparm_type_filter=all&query={searchTerms}&sysparm_order=relevancy,https://gsa.servicenowservices.com/favicon.ico
Knowledge List View,https://gsa.servicenowservices.com/kb_knowledge_list.do?sysparm_query=GOTO123TEXTQUERY321={searchTerms},https://gsa.servicenowservices.com/images/mobile/apple_touch_snc.png
